PPI,viral_prot,host_prot,class
E-O00203,E,O00203,Positive
E-O14530,E,O14530,Positive
E-O60885,E,O60885,Positive
E-O95628,E,O95628,Positive
E-P21912,E,P21912,Positive
E-P51948,E,P51948,Positive
E-P51965,E,P51965,Positive
E-P55196,E,P55196,Positive
E-P55327,E,P55327,Positive
E-P80297,E,P80297,Positive
E-Q13190,E,Q13190,Positive
E-Q15011,E,Q15011,Positive
E-Q15843,E,Q15843,Positive
E-Q15904,E,Q15904,Positive
E-Q3KP31,E,Q3KP31,Positive
E-Q4LE39,E,Q4LE39,Positive
E-Q6UX04,E,Q6UX04,Positive
E-Q86VM9,E,Q86VM9,Positive
E-Q92665,E,Q92665,Positive
E-Q96AT1,E,Q96AT1,Positive
E-Q96EA4,E,Q96EA4,Positive
E-Q96LR5,E,Q96LR5,Positive
E-Q99733,E,Q99733,Positive
E-Q9H814,E,Q9H814,Positive
E-Q9HBH1,E,Q9HBH1,Positive
E-Q9HCU5,E,Q9HCU5,Positive
E-Q9UKV3,E,Q9UKV3,Positive
E-Q9ULP9,E,Q9ULP9,Positive
E-Q9Y394,E,Q9Y394,Positive
E-Q9Y4C8,E,Q9Y4C8,Positive
E-Q9Y617,E,Q9Y617,Positive
E-Q9Y6D9,E,Q9Y6D9,Positive
M-A0A096LP01,M,A0A096LP01,Positive
M-A0A0U1RRL7,M,A0A0U1RRL7,Positive
M-A0A1W2PR82,M,A0A1W2PR82,Positive
M-A0FGR8,M,A0FGR8,Positive
M-A0PK00,M,A0PK00,Positive
M-A6NJ78,M,A6NJ78,Positive
M-A6ZKI3,M,A6ZKI3,Positive
M-O00124,M,O00124,Positive
M-O00767,M,O00767,Positive
M-O14524,M,O14524,Positive
M-O14732,M,O14732,Positive
M-O14828,M,O14828,Positive
M-O14981,M,O14981,Positive
M-O15120,M,O15120,Positive
M-O15127,M,O15127,Positive
M-O15162,M,O15162,Positive
M-O15243,M,O15243,Positive
M-O15258,M,O15258,Positive
M-O15321,M,O15321,Positive
M-O15397,M,O15397,Positive
M-O15431,M,O15431,Positive
M-O15439,M,O15439,Positive
M-O43156,M,O43156,Positive
M-O43615,M,O43615,Positive
